city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,zips
Eugene,Eugene,MO,Missouri,29051,Cole,38.3547,-92.4031,65032
Glidden,Glidden,WI,Wisconsin,55003,Ashland,46.1346,-90.5721,54527
Riverdale,Riverdale,ND,North Dakota,38055,McLean,47.4975,-101.3661,58531 58565
Oak Grove,Oak Grove,AR,Arkansas,5115,Pope,35.3594,-92.9598,72802
Whitehaven,Whitehaven,MD,Maryland,24045,Wicomico,38.2705,-75.7935,21856
Palmer,Palmer,KS,Kansas,20201,Washington,39.6333,-97.1399,66962
Corn Creek,Corn Creek,SD,South Dakota,46095,Mellette,43.5744,-101.2059,57521 57560
Trimountain,Trimountain,MI,Michigan,26061,Houghton,47.0557,-88.6587,49905
Boyd,Boyd,MN,Minnesota,27073,Lac qui Parle,44.8512,-95.9008,56218
Sylvia,Sylvia,KS,Kansas,20155,Reno,37.9589,-98.4085,67581
Shoal Creek Estates,Shoal Creek Estates,MO,Missouri,29145,Newton,37.0173,-94.4933,64804
Mount Holly,Mount Holly,AR,Arkansas,5139,Union,33.303,-92.9539,71764 71758
Kokomo,Kokomo,MS,Mississippi,28091,Marion,31.1991,-90.0008,39643
Westphalia,Westphalia,IA,Iowa,19165,Shelby,41.7192,-95.3937,51537 51578
Loomis,Loomis,MI,Michigan,26073,Isabella,43.7882,-84.6659,48617
Dwale,Dwale,KY,Kentucky,21071,Floyd,37.6253,-82.7277,41621
Henlopen Acres,Henlopen Acres,DE,Delaware,10005,Sussex,38.7257,-75.0849,19971
Alcan Border,Alcan Border,AK,Alaska,2240,Southeast Fairbanks,62.6727,-141.1321,99764
Elmdale,Elmdale,MN,Minnesota,27097,Morrison,45.834,-94.4942,56314
Cooksville,Cooksville,IL,Illinois,17113,McLean,40.5428,-88.7146,61730
Auburn,Auburn,IA,Iowa,19161,Sac,42.2496,-94.8777,51433
Chula,Chula,MO,Missouri,29117,Livingston,39.9219,-93.4776,64635
New Schaefferstown,New Schaefferstown,PA,Pennsylvania,42011,Berks,40.4536,-76.1692,19506
Clio,Clio,CA,California,6063,Plumas,39.7487,-120.5726,96106 96122
Barnesville,Barnesville,MD,Maryland,24031,Montgomery,39.2212,-77.3799,20838
Gladstone,Gladstone,IL,Illinois,17071,Henderson,40.8643,-90.9566,61437
Tillar,Tillar,AR,Arkansas,5043,Drew,33.7109,-91.4517,71670
Hill View Heights,Hill View Heights,WY,Wyoming,56045,Weston,43.8159,-104.1517,82701
Denton,Denton,NE,Nebraska,31109,Lancaster,40.7393,-96.8461,68339
Bairoil,Bairoil,WY,Wyoming,56037,Sweetwater,42.2372,-107.5611,82322
Carthage,Carthage,SD,South Dakota,46097,Miner,44.1686,-97.715,57323
South Frydek,South Frydek,TX,Texas,48015,Austin,29.7318,-96.0738,77474
Williams,Williams,SC,South Carolina,45029,Colleton,33.0341,-80.8428,29475 29493
Fox,Fox,AK,Alaska,2090,Fairbanks North Star,64.9749,-147.609,99712
Regent,Regent,ND,North Dakota,38041,Hettinger,46.4222,-102.5581,58650
Spring Garden,Spring Garden,AL,Alabama,1019,Cherokee,33.973,-85.5558,36272 36275
Reeves,Reeves,LA,Louisiana,22003,Allen,30.5215,-93.0428,70658
Mount Lebanon,Mount Lebanon,LA,Louisiana,22013,Bienville,32.5053,-93.0499,71028
Goodmanville,Goodmanville,CA,California,6029,Kern,35.4348,-118.939,93308
Scotia,Scotia,SC,South Carolina,45049,Hampton,32.6805,-81.2433,29939
North Washington,North Washington,IA,Iowa,19037,Chickasaw,43.1171,-92.4151,50659
Cosby,Cosby,MO,Missouri,29003,Andrew,39.8639,-94.6798,64436
Hubbard,Hubbard,NE,Nebraska,31043,Dakota,42.3859,-96.5915,68741
Mitchell,Mitchell,OR,Oregon,41069,Wheeler,44.5703,-120.1537,97750
Hunnewell,Hunnewell,MO,Missouri,29205,Shelby,39.6679,-91.8588,63443
Rumsey,Rumsey,CA,California,6113,Yolo,38.8902,-122.2404,95679
Stoney Point,Stoney Point,OK,Oklahoma,40135,Sequoyah,35.5847,-94.6635,74955
Clarksville,Clarksville,PA,Pennsylvania,42059,Greene,39.9745,-80.044,15322
Wing,Wing,ND,North Dakota,38015,Burleigh,47.1423,-100.2823,58494
Bier,Bier,MD,Maryland,24001,Allegany,39.5525,-78.8692,21502 21557
Warwick,Warwick,OK,Oklahoma,40081,Lincoln,35.6881,-97.0018,74881 74834
Pine Apple,Pine Apple,AL,Alabama,1131,Wilcox,31.8722,-86.9891,36768
Old Bennington,Old Bennington,VT,Vermont,50003,Bennington,42.8848,-73.2143,05201
Edison,Edison,NE,Nebraska,31065,Furnas,40.2792,-99.7758,68936
Poneto,Poneto,IN,Indiana,18179,Wells,40.6568,-85.2225,46781
Onward,Onward,IN,Indiana,18017,Cass,40.6947,-86.1948,46994 46967
Plaucheville,Plaucheville,LA,Louisiana,22009,Avoyelles,30.9647,-91.9837,71362
Jalapa,Jalapa,IN,Indiana,18053,Grant,40.6263,-85.7464,46952
McNary,McNary,LA,Louisiana,22079,Rapides,30.9895,-92.5795,71433
Oconee,Oconee,IL,Illinois,17173,Shelby,39.2863,-89.1066,62553
Lodge,Lodge,SC,South Carolina,45029,Colleton,33.0678,-80.9537,29082
Salesville,Salesville,OH,Ohio,39059,Guernsey,39.9742,-81.3365,43778
Lima,Lima,IL,Illinois,17001,Adams,40.1767,-91.3783,62376 62348
Devol,Devol,OK,Oklahoma,40033,Cotton,34.1954,-98.5882,73531
Woodburn,Woodburn,IA,Iowa,19039,Clarke,41.0108,-93.5963,50275
Coxton,Coxton,KY,Kentucky,21095,Harlan,36.8581,-83.2681,40831
Lavina,Lavina,MT,Montana,30037,Golden Valley,46.295,-108.9388,59046
Freedom,Freedom,WY,Wyoming,56023,Lincoln,42.9854,-111.0296,83120
Tibes,Tibes,PR,Puerto Rico,72113,Ponce,18.0886,-66.6333,00731
Belvue,Belvue,KS,Kansas,20149,Pottawatomie,39.2164,-96.1789,66407
Meadowview Estates,Meadowview Estates,KY,Kentucky,21111,Jefferson,38.2227,-85.6353,40220
Wheatcroft,Wheatcroft,KY,Kentucky,21233,Webster,37.4893,-87.8613,42463 42404
Lockington,Lockington,OH,Ohio,39149,Shelby,40.2075,-84.2358,45356
East Nicolaus,East Nicolaus,CA,California,6101,Sutter,38.91,-121.5443,95659
Leonard,Leonard,OK,Oklahoma,40143,Tulsa,35.9228,-95.801,74008
Havensville,Havensville,KS,Kansas,20149,Pottawatomie,39.5115,-96.0762,66432
Pinos Altos,Pinos Altos,NM,New Mexico,35017,Grant,32.8665,-108.2221,88053
Geneva,Geneva,IA,Iowa,19069,Franklin,42.6748,-93.1298,50633
Sidman,Sidman,PA,Pennsylvania,42021,Cambria,40.3235,-78.7523,15955
Garrattsville,Garrattsville,NY,New York,36077,Otsego,42.6524,-75.1691,13315 13342
Burnside,Burnside,PA,Pennsylvania,42033,Clearfield,40.8133,-78.792,15721
Falun,Falun,KS,Kansas,20169,Saline,38.6745,-97.7511,67442
Goodland,Goodland,FL,Florida,12021,Collier,25.9252,-81.648,34140
Organ,Organ,NM,New Mexico,35013,Doña Ana,32.4251,-106.6025,88052
Fall River,Fall River,KS,Kansas,20073,Greenwood,37.6078,-96.0286,67047
Belgrade,Belgrade,NE,Nebraska,31125,Nance,41.4709,-98.0678,68623
Linn Grove,Linn Grove,IA,Iowa,19021,Buena Vista,42.8928,-95.2424,51033
Bosworth,Bosworth,MO,Missouri,29033,Carroll,39.4699,-93.3357,64623
